scenario,initial_gamma_deg,impact_time_cmd_s,impact_gamma_cmd_deg,satisfied,impact_time_s,miss_m,angle_error_deg,max_accel_mps2,qp_failures
"gamma_0=20 deg, tf=21.30 s",20.00000000,21.30000000,-2.00000000,0,21.30000000,88.99399515,1.63449954,93.59999925,0
"gamma_0=25 deg, tf=21.70 s",25.00000000,21.70000000,-2.00000000,1,21.70000000,5.97806476,0.64675745,93.59999463,0
"gamma_0=30 deg, tf=22.10 s",30.00000000,22.10000000,-2.00000000,0,22.10000000,72.65542628,0.01644483,93.59998569,0
