case,amplitude,sign,tau_scale,satisfied,miss_m,angle_error_deg,stress_satisfied,stress_miss_m,stress_angle_error_deg,qp_failures,stress_qp_failures
"zero-tau-baseline",0.00000000,1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-pos-0p10",0.10000000,1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-pos-0p20",0.20000000,1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-pos-0p35",0.35000000,1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-neg-0p10",0.10000000,-1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-neg-0p20",0.20000000,-1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-neg-0p35",0.35000000,-1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"shape-pos-0p20-wide",0.20000000,1.00000000,0.90000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
