"case","impact_time","impact_angle_deg","ok","miss_m","angle_error_deg","max_a","qp_failures","max_slack"
"time_21p55_angle_m2","21.55","-2","0","54.96792071","0.95295324","93.60000000","0","5.42415409e-03 1.10482752e-05 1.10118363e-06"
"time_21p60_angle_m2","21.6","-2","0","28.61707132","0.86871268","93.60000000","0","3.70965911e-03 4.96708046e-08 9.97576960e-08"
"time_21p65_angle_m2","21.65","-2","0","32.18496897","0.62550639","93.60000000","0","1.96932775e-03 4.23840635e-08 9.99508853e-08"
"time_21p70_angle_m2","21.7","-2","1","5.91525743","0.46808796","93.60000000","0","2.37228106e-04 4.23230737e-08 9.91317672e-08"
"time_21p75_angle_m2","21.75","-2","1","9.61303089","0.41502825","93.60000000","0","1.82228035e-03 3.84331026e-08 9.64217980e-08"
"time_21p80_angle_m2","21.8","-2","0","16.57466474","0.36191162","93.60000000","0","1.26290820e-03 4.91987188e-08 9.85702210e-08"
"time_21p85_angle_m2","21.85","-2","0","12.78975302","0.07023886","93.60000000","0","5.20338396e-03 4.78663584e-08 9.63949578e-08"
