method,captured,impact_time_s,miss_m,angle_error_deg,max_command_mps2,max_accel_mps2,rms_command_mps2,control_energy,solver_failures
Koopman-MPC,1,37.00000000,3.04762666,0.10876142,69.95562009,69.82003164,21.23059746,1.667622030130e+04,0
GPOPS,1,37.00000000,0.00000000,0.00000000,18.91965448,100.00000000,11.87466286,5.312551941736e+03,0
