"impact_angle_deg","impact_time_s","satisfied","miss_m","angle_error_deg","max_command_mps2","max_accel_mps2","qp_failures"
"30","22.10000000","1","6.94470383","-0.10670896","93.60000000","93.60000000","0"
"45","22.90000000","1","7.28022580","-0.40438563","93.60000000","93.60000000","0"
