"case","impact_time_s","impact_angle_deg","satisfied","miss_m","angle_error_deg","max_accel_mps2","qp_failures"
"baseline","21.7","-2","1","5.97806476","0.64675745","93.59999463","0"
"slightly_late","21.75","-2","1","9.79400000","0.53000000","93.60000000","0"
