case,suffix,satisfied,miss_m,angle_error_deg,mean_solve_ms,max_solve_ms,qp_failures,terminal_steps,tau_slack,y_slack,theta_slack,max_command_mps2
"h50-progress-baseline","tune_terminal_ref_baseline",0,18.53754766,2.21551091,25.09157071,368.05780000,0,0,2.25382261e-05,2.72621697e-03,3.28196571e-04,93.60000000
"terminal-3s-10blocks","tune_terminal_ref_3s_10b",0,10.11377740,3.16794998,55.57803214,2861.21760000,0,30,5.58272449e-09,1.66608927e-03,2.93128378e-03,93.60000000
"terminal-4s-10blocks","tune_terminal_ref_4s_10b",0,9.98176536,3.16735355,44.48659762,877.85720000,1,40,5.58272449e-09,1.65034782e-03,2.92087403e-03,93.60000000
"terminal-5s-10blocks","tune_terminal_ref_5s_10b",0,9.97495867,3.16754188,31.84435881,436.45570000,5,50,1.53159112e-07,1.65078624e-03,2.92416111e-03,93.60000000
"terminal-4s-14blocks","tune_terminal_ref_4s_14b",0,12.03075946,2.56001009,30.39611167,591.70250000,3,40,5.58272449e-09,1.23115710e-03,2.01689422e-04,100.00000000
"terminal-5s-14blocks","tune_terminal_ref_5s_14b",0,12.03783969,2.73593096,43.54170571,577.61650000,8,50,6.86206578e-09,1.26785711e-03,2.03082025e-04,100.00000000
"terminal-4s-14blocks-agile","tune_terminal_ref_4s_14b_agile",0,11.84364682,3.06775101,31.26387738,511.53990000,1,40,1.41488470e-05,1.20227151e-03,1.18248180e-03,93.60000000
