case,amplitude,sign,tau_scale,satisfied,miss_m,angle_error_deg,stress_satisfied,stress_miss_m,stress_angle_error_deg,qp_failures,stress_qp_failures
"zero-tau-baseline",0.00000000,1.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"joint-pos-0p02",0.02000000,1.00000000,0.60000000,0,26.43340370,1.30043576,0,26.14122898,1.31507325,147,142
"joint-pos-0p05",0.05000000,1.00000000,0.60000000,0,44.90662640,13.95329165,0,49.18373723,9.50691285,156,154
"joint-pos-0p08",0.08000000,1.00000000,0.60000000,0,58.98850083,14.19111740,0,68.46444061,15.45197463,172,165
"joint-neg-0p02",0.02000000,-1.00000000,0.60000000,0,22.24047771,-7.65656153,0,25.53408026,-8.00254836,134,133
"joint-neg-0p05",0.05000000,-1.00000000,0.60000000,0,44.16480471,-14.40177773,0,44.31803219,-14.44016982,126,124
"joint-pos-0p05-wide",0.05000000,1.00000000,0.90000000,0,25.94245131,12.10354578,0,22.91857666,12.54415993,155,152
